date|trd_amount|min|max|min_avg|max_avg|price|diff|area_type
2021-08-26|182206|28100|30500|26300|32100|29900|▲ 700 (+2.40%)|1
2021-08-26|231267|200|5700|26300|32100|29900|▲ 700 (+2.40%)|9
