date|trd_amount|min|max|min_avg|max_avg|price|diff|area_type
2021-08-24|236536|27900|30500|27500|33500|29200|▼ 1,300 (-4.26%)|1
2021-08-24|189261|100|10400|27500|33500|29200|▼ 1,300 (-4.26%)|9
