date|trd_amount|min|max|min_avg|max_avg|price|diff|area_type
2021-10-15|197068|32500|35000|31500|38500|34900|▼ 100 (-0.29%)|1
2021-10-15|257813|0|31600|31500|38500|34900|▼ 100 (-0.29%)|9
